Name,Phone number,Address,Website,Emails
Puget Sound Naval Shipyard,(202) 781-0000,"1400 Farragut St., Bremerton, WA 98314",navsea.navy.mil,()
"Philly Shipyard, Inc.",(215) 875-2600,"2100 Kitty Hawk Ave, Philadelphia, PA 19112",phillyshipyard.com,()
